db_id,question,query
customer_complaints,count the number of different complaint type codes.,select count(distinct complaint_type_code) from complaints
cre_docs_and_epenses,what are project ids of projects that have 2 or more corresponding documents?,select project_id from documents group by project_id having count(*)  >=  2
network_2,find the person who has exactly one friend.,select name from personfriend group by name having count(*)  =  1
car_1,what is the number of countries with more than 2 car makers?,"select count(*) from ( select t1.countryid ,  count(*) from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >  2 );"
scholar,what are the papers from pldi 2015 ?,"select distinct t1.paperid from venue as t2 join paper as t1 on t2.venueid  =  t1.venueid where t1.year  =  2015 and t2.venuename  =  ""pldi"";"
e_government,"what are the first, middle, and last names of all individuals, ordered by last name?","select individual_first_name ,  individual_middle_name ,  individual_last_name from individuals order by individual_last_name"
scholar,how many papers has david m. blei published in aistats ?,"select distinct count ( t3.paperid ) from venue as t4 join paper as t3 on t4.venueid  =  t3.venueid join writes as t2 on t2.paperid  =  t3.paperid join author as t1 on t2.authorid  =  t1.authorid where t1.authorname  =  ""david m. blei"" and t4.venuename  =  ""aistats"";"
insurance_and_eclaims,how many distinct claim outcome codes are there?,select count(distinct claim_outcome_code) from claims_processing
e_learning,"for each distinct test result, find the number of students who got the result.","select test_result ,  count(*) from student_tests_taken group by test_result order by count(*) desc"
chinook_1,"what are the names and ids of artists with 3 or more albums, listed in alphabetical order?","select t2.name ,  t1.artistid from album as t1 join artist as t2 on t1.artistid  =  t2.artistid group by t1.artistid having count(*)  >=  3 order by t2.name"
wine_1,which 3 wineries produce the most wines made from white grapes?,"select t2.winery from grapes as t1 join wine as t2 on t1.grape  =  t2.grape where t1.color  =  ""white"" group by t2.winery order by count(*) desc limit 3"
city_record,find the gdp of the city with the largest regional population.,select gdp from city order by regional_population desc limit 1
inn_1,"for each bed type, find the average base price of different bed type.","select bedtype ,  avg(baseprice) from rooms group by bedtype;"
entrepreneur,show the investors shared by entrepreneurs that requested more than 140000 and entrepreneurs that requested less than 120000.,select investor from entrepreneur where money_requested  >  140000 intersect select investor from entrepreneur where money_requested  <  120000
academic,"return me the number of papers by "" h. v. jagadish "" on vldb conference .","select count ( distinct t4.title ) from publication as t4 join conference as t2 on t4.cid  =  t2.cid join writes as t3 on t3.pid  =  t4.pid join author as t1 on t3.aid  =  t1.aid where t1.name  =  ""h. v. jagadish"" and t2.name  =  ""vldb"";"
student_1,"for each grade, return the grade number, the number of classrooms used for the grade, and the total number of students enrolled in the grade.","select grade ,  count(distinct classroom) ,  count(*) from list group by grade"
car_1,what are the names and ids of all countries with at least one car maker?,"select t1.countryname ,  t1.countryid from countries as t1 join car_makers as t2 on t1.countryid  =  t2.country group by t1.countryid having count(*)  >=  1;"
chinook_1,find the birth dates corresponding to employees who live in the city of edmonton.,"select birthdate from employee where city  =  ""edmonton"""
cre_doc_template_mgt,"list document ids, document names, and document descriptions for all documents.","select document_id ,  document_name ,  document_description from documents"
allergy_1,how many students are there for each major?,"select major ,  count(*) from student group by major"
college_2,what is the lowest salary in departments with average salary greater than the overall average.,"select min(salary) ,  dept_name from instructor group by dept_name having avg(salary)  >  (select avg(salary) from instructor)"
formula_1,what is the maximum fastest lap speed in race named 'monaco grand prix' in 2008 ?,"select max(t2.fastestlapspeed) from races as t1 join results as t2 on t1.raceid = t2.raceid where t1.year = 2008 and t1.name = ""monaco grand prix"""
music_4,"what are the issue dates of volumes associated with the artist ""gorgoroth""?","select t2.issue_date from artist as t1 join volume as t2 on t1.artist_id  =  t2.artist_id where t1.artist  =  ""gorgoroth"""
product_catalog,how many products are there in the records?,select count(*) from catalog_contents
music_2,"who performed the song named ""le pop""?","select t2.firstname ,  t2.lastname from performance as t1 join band as t2 on t1.bandmate  =  t2.id join songs as t3 on t3.songid  =  t1.songid where t3.title  =  ""le pop"""
chinook_1,"find the number of albums by the artist ""metallica"".","select count(*) from album as t1 join artist as t2 on t1.artistid  =  t2.artistid where t2.name  =  ""metallica"""
allergy_1,what is the largest major?,select major from student group by major order by count(*) desc limit 1
journal_committee,"list the date, theme and sales of the journal which did not have any of the listed editors serving on committee.","select date ,  theme ,  sales from journal except select t1.date ,  t1.theme ,  t1.sales from journal as t1 join journal_committee as t2 on t1.journal_id  =  t2.journal_id"
scientist_1,find the total hours of all projects.,select sum(hours) from projects
geo,what is the river that cross over illinois,"select river_name from river where traverse  =  ""illinois"";"
geo,which states border the state with the smallest area,select border from border_info where state_name  =  ( select state_name from state where area  =  ( select min ( area ) from state ) );
device,list the carriers of devices that have no devices in stock.,select carrier from device where device_id not in (select device_id from stock)
baseball_1,find the id and rank of the team that has the highest average attendance rate in 2014.,"select t2.team_id ,  t2.rank from home_game as t1 join team as t2 on t1.team_id  =  t2.team_id where t1.year  =  2014 group by t1.team_id order by avg(t1.attendance) desc limit 1;"
product_catalog,"find the names of all the products whose stock number starts with ""2"".","select catalog_entry_name from catalog_contents where product_stock_number like ""2%"""
formula_1,what are the names of all races that occurred after 12:00:00 or before 09:00:00?,"select name from races where time > ""12:00:00"" or time < ""09:00:00"""
